Video ID,Duration (s),Extracted Frames,Frame Resolution
106106131\mod01lec01.mp4,00:09:24,,1274*720
106106131\mod01lec02.mp4,00:09:32,,1280*718
106106131\mod01lec03.mp4,00:06:19,,640*360
106106131\mod01lec04.mp4,00:09:29,,608*360
106106131\mod01lec05.mp4,00:18:34,,1280*718
106106131\mod01lec06.mp4,00:10:27,,640*360
106106131\mod01lec07.mp4,00:18:01,,1128*720
106106131\mod01lec08.mp4,00:17:21,,638*360
106106131\mod02lec09.mp4,00:06:23,,1276*720
106106131\mod02lec10.mp4,00:09:09,,1274*720
106106131\mod02lec11.mp4,00:12:11,,1278*720
106106131\mod02lec12.mp4,00:13:51,,1280*716
106106131\mod02lec13.mp4,00:13:45,,1280*718
106106131\mod02lec14.mp4,00:15:10,,1280*720
106106131\mod02lec15.mp4,00:17:05,,640*360
106106131\mod02lec16.mp4,00:12:17,,1278*720
106106131\mod02lec17.mp4,00:08:07,,1274*720
106106131\mod03lec18.mp4,00:12:02,,1280*718
106106131\mod03lec19.mp4,00:13:46,,1280*718
106106131\mod03lec20.mp4,00:20:38,,640*358
106106131\mod03lec21.mp4,00:12:43,,640*358
106106131\mod03lec22.mp4,00:22:24,,1280*712
106106131\mod03lec23.mp4,00:20:25,,640*360
106106131\mod03lec24.mp4,00:14:00,,640*358
106106131\mod04lec25.mp4,00:16:15,,640*358
106106131\mod04lec26.mp4,00:14:21,,640*360
106106131\mod04lec27.mp4,00:16:41,,1276*720
106106131\mod04lec28.mp4,00:19:35,,1274*720
106106131\mod04lec29.mp4,00:11:58,,640*360
106106131\mod04lec30.mp4,00:21:10,,1272*720
106106131\mod04lec31.mp4,00:14:37,,640*360
106106131\mod05lec32.mp4,00:22:11,,1280*718
106106131\mod05lec33.mp4,00:15:24,,958*720
106106131\mod05lec34.mp4,00:10:15,,640*358
106106131\mod05lec35.mp4,00:23:13,,634*360
106106131\mod05lec36.mp4,00:12:00,,1280*716
106106131\mod06lec37.mp4,00:17:57,,1272*720
106106131\mod06lec38.mp4,00:16:34,,1276*720
106106131\mod07lec39.mp4,00:33:05,,638*360
106106131\mod07lec40.mp4,00:22:12,,636*360
106106131\mod08lec41.mp4,00:18:06,,640*360
106106131\mod08lec42.mp4,00:17:21,,640*352
106106131\mod08lec43.mp4,00:29:04,,640*360
106106131\mod09lec44.mp4,00:19:30,,1274*720
106106131\mod09lec45.mp4,00:19:53,,1274*720
106106131\mod09lec46.mp4,00:21:26,,1274*720
106106131\mod09lec47.mp4,00:27:18,,1276*720
106106131\mod09lec48.mp4,00:14:33,,1278*720
106106131\mod09lec49.mp4,00:15:52,,1272*720
106106131\mod10lec50.mp4,00:18:01,,636*360
106106131\mod10lec51.mp4,00:13:26,,640*358
106106131\mod10lec52.mp4,00:10:21,,640*358
106106131\mod10lec53.mp4,00:18:04,,640*360
106106131\mod10lec54.mp4,00:10:59,,640*360
106106131\mod11lec55.mp4,00:23:46,,640*360
106106131\mod11lec56.mp4,00:20:47,,640*360
106105182\mod01lec01.mp4,00:28:00,,960*540
106105182\mod01lec02.mp4,00:28:07,,960*540
106105182\mod01lec03.mp4,00:27:25,,960*540
106105182\mod01lec04.mp4,00:31:00,,960*540
106105182\mod01lec05.mp4,00:28:18,,960*540
106105182\mod02lec06.mp4,00:28:00,,960*540
106105182\mod02lec07.mp4,00:29:18,,960*540
106105182\mod02lec08.mp4,00:30:59,,960*540
106105182\mod02lec09.mp4,00:28:18,,960*540
106105182\mod02lec10.mp4,00:25:46,,960*540
106105182\mod03lec11.mp4,00:27:58,,960*540
106105182\mod03lec12.mp4,00:29:25,,960*540
106105182\mod03lec13.mp4,00:27:49,,960*540
106105182\mod03lec14.mp4,00:29:07,,960*540
106105182\mod03lec15.mp4,00:30:28,,960*540
106105182\mod04lec16.mp4,00:28:14,,960*540
106105182\mod04lec17.mp4,00:30:13,,960*540
106105182\mod04lec18.mp4,00:30:38,,960*540
106105182\mod04lec19.mp4,00:28:09,,960*540
106105182\mod04lec20.mp4,00:27:37,,960*540
106105182\mod05lec21.mp4,00:27:50,,960*540
106105182\mod05lec22.mp4,00:28:18,,960*540
106105182\mod05lec23.mp4,00:27:17,,960*540
106105182\mod05lec24.mp4,00:33:09,,960*540
106105182\mod05lec25.mp4,00:27:35,,960*540
106105182\mod06lec26.mp4,00:28:52,,960*540
106105182\mod06lec27.mp4,00:29:08,,960*540
106105182\mod06lec28.mp4,00:28:35,,960*540
106105182\mod06lec29.mp4,00:22:24,,960*540
106105182\mod06lec30.mp4,00:16:34,,960*540
106105182\mod07lec31.mp4,00:28:40,,960*540
106105182\mod07lec32.mp4,00:28:20,,960*540
106105182\mod07lec33.mp4,00:29:34,,960*540
106105182\mod07lec34.mp4,00:29:23,,960*540
106105182\mod07lec35.mp4,00:26:58,,960*540
106105182\mod08lec36.mp4,00:29:44,,960*540
106105182\mod08lec37.mp4,00:29:20,,960*540
106105182\mod08lec38.mp4,00:28:56,,960*540
106105182\mod08lec39.mp4,00:27:29,,960*540
106105182\mod08lec40.mp4,00:29:32,,960*540
106105182\mod09lec41.mp4,00:26:51,,960*540
